,Model,Fit,Label,MAE,MAPE
1,Winters_Holt,Seas_mult,Weizenbrot,20.194920500809992,18.06289981741875
2,Winters_Holt,Seas_mult/Trend_dampF,Mischbrot,17.199703974639622,23.12950411370845
3,Winters_Holt,Seas_add,Vollkornbrot,21.973916065965398,16.727852410250655
4,Winters_Holt,Seas_add/Trend_damp,Spezialbrot,11.203307147670893,15.361159697394333
5,Winters_Holt,Seas_mult/Trend_damp,Stangenbrote,13.725387248414506,38.97711072897021
6,Winters_Holt,Seas_add,Brötchen,87.61023077580506,26.06264882808942
7,Winters_Holt,Seas_mult/Trend_damp,Süsse_Brötchen,38.22934297818093,19.01860321706809
8,Winters_Holt,Seas_mult/Trend_damp,Herzhafte_Brötchen,19.69578533996954,24.797427934740586
9,Winters_Holt,Seas_add,KonditoreiBlech,28.026943710590494,31.7257535020956
10,Winters_Holt,Seas_mult/Trend_damp,Stückgebäck,44.12044451225513,29.72755451411623
11,Winters_Holt,Seas_mult,Blechkuchen,30.226688088493756,38.22937007318673
13,Winters_Holt_long,Seas_mult/Trend_damp,Weizenbrot,20.194920500809992,18.06289981741875
14,Winters_Holt_long,Seas_mult/Trend_dampF,Mischbrot,17.466538972772458,22.675451802139992
15,Winters_Holt_long,Seas_add,Vollkornbrot,22.86968876764619,16.91016162076334
16,Winters_Holt_long,Seas_add/Trend_damp,Spezialbrot,12.722809384535744,16.877337251941622
17,Winters_Holt_long,Seas_add,Stangenbrote,15.40440852039632,45.59976807385882
18,Winters_Holt_long,Seas_add/Trend_damp,Brötchen,98.65583065079657,22.341864378395456
19,Winters_Holt_long,Seas_mult/Trend_damp,Süsse_Brötchen,39.96401523804059,17.591097310859496
20,Winters_Holt_long,Seas_mult/Trend_damp,Herzhafte_Brötchen,29.237492764628307,25.582229449065526
21,Winters_Holt_long,Seas_add,KonditoreiBlech,23.59109157328694,31.46219390533726
23,Winters_Holt_long,Seas_add,Blechkuchen,39.14840458558419,46.97346051536812
