,Label,MAE,MAPE,Baseline,Mean,Std_Mean,Percentage_Sales
1,Weizenbrot,20.291094,15.474022,18.654254,63.447962,46.048354,4.63
2,Mischbrot,13.821258,17.95449,19.716579,71.860719,27.905043,5.24
3,Vollkornbrot,16.063742,12.403363,14.401462,108.283982,24.866348,7.9
4,Spezialbrot,11.356501,15.948933,20.319135,39.816439,44.319783,2.9
5,Stangenbrote,11.683339,30.116608,40.556283,56.310284,47.725926,4.11
6,Brötchen,44.489891,10.378933,16.91199,375.431206,37.004759,27.4
7,Süsse_Brötchen,19.969256,8.525503,13.06203,196.670399,29.277011,14.3
8,Herzhafte_Brötchen,20.009548,16.793494,18.341505,93.947422,39.319887,6.85
9,KonditoreiBlech,17.227928,16.91199,22.534191,98.692646,64.960846,4.35
10,Stückgebäck,37.258637,22.881809,20.410318,152.085738,58.579104,11.1
11,Blechkuchen,23.278018,26.35964,30.168072,93.154924,50.076472,6.8
12,Weihnachtsartikel,5.834186,16.308981,20.465365,21.198583,254.144729,1.55
